contest_ID,focal_win,rel_car_length
AAF-001BC_AAF-030BC,1,-0.022964169
AAF-003BC_AAF-008BC,0,0.099381762
AAF-005BC_AAF-017BC,1,-0.007553278
AAF-006BC_AAF-015BC,1,0.014138205
AAF-007BC_AAF-016BC,1,0.029312977
AAF-010BC_AAF-002BC,1,-0.013819465
AAF-014BC_AAF-013BC,1,0.022500373
AAF-018BC_AAF-009BC,0,-0.043268549
AAF-019BC_AAF-023BC,0,0.06539796
AAF-020BC_AAF-022BC,1,0.039217955
AAF-021BC_AAF-011BC,1,-0.003646881
AAF-025BC_AAF-029BC,0,-0.051601704
AAF-026BC_AAF-027BC,1,-0.053483269
AAM-003BC_AAM-005BC,0,0.061849262
AAM-004BC_AAM-011BC,0,0.021287919
AAM-006BC_AAM-016BC,0,0.012146934
AAM-007BC_AAM-023BC,0,-0.000891001
AAM-013BC_AAM-010BC,1,0.027145483
AAM-019BC_AAM-021BC,1,0.025194961
AAM-020BC_AAM-018BC,1,-0.016922134
AAM-022BC_AAM-001BC,0,-0.008635579
AAM-028BC_AAM-025BC,1,0.00550114
AAM-030BC_AAM-015BC,1,0.028219971
AAM-032BC_AAM-031BC,1,-0.064207879
AAF-003BC_AAF-015BC,1,0.040803709
AAF-006BC_AAF-012BC,1,0.279904686
AAF-007BC_AAF-018BC,0,-0.076183206
AAF-008BC_AAF-002BC,0,-0.183456324
AAF-009BC_AAF-016BC,0,0.135436497
AAF-010BC_AAF-019BC,0,-0.398265216
AAF-013BC_AAF-011BC,0,-0.216615854
AAF-014BC_AAF-005BC,0,-0.10475339
AAF-017BC_AAF-027BC,0,-0.028380187
AAF-020BC_AAF-001BC,1,0.289680703
AAF-021BC_AAF-022BC,1,-0.044391348
AAF-023BC_AAF-029BC,1,0.250309371
AAF-026BC_AAF-025BC,1,0.130965442
AAM-002BC_AAM-001BC,0,-0.10172689
AAM-005BC_AAM-023BC,1,-0.116448567
AAM-006BC_AAM-004BC,1,-0.099956095
AAM-007BC_AAM-016BC,0,-0.002376002
AAM-015BC_AAM-028BC,0,-0.109903202
AAM-018BC_AAM-011BC,1,0.112986856
AAM-019BC_AAM-010BC,1,-0.031943611
AAM-021BC_AAM-020BC,0,-0.254615385
AAM-022BC_AAM-013BC,0,0.060316195
AAM-024BC_AAM-031BC,0,-0.083831313
AAM-029BC_AAM-027BC,0,-1.162342872
AAM-030BC_AAM-025BC,0,-0.072648336
AAM-032BC_AAM-033BC,0,0.034870075
