contest_ID,avg_car_length,initiation_time,presnapping_time,snapping_time
AAF-001BC_AAF-030BC,6.2105,0.698970004,0,0.477121255
AAF-003BC_AAF-008BC,6.1485,0.301029996,0.301029996,0.84509804
AAF-005BC_AAF-017BC,7.442,0.301029996,0,0.698970004
AAF-006BC_AAF-015BC,6.2505,0.301029996,0.301029996,0.477121255
AAF-007BC_AAF-016BC,6.454,0.602059991,0.698970004,0.602059991
AAF-010BC_AAF-002BC,6.849,0.698970004,0,0.301029996
AAF-014BC_AAF-013BC,6.6355,0.602059991,0,0
AAF-018BC_AAF-009BC,7.2015,0.477121255,0.698970004,1.812913357
AAF-019BC_AAF-023BC,9.2,0.477121255,0.602059991,1.113943352
AAF-020BC_AAF-022BC,8.4745,0.698970004,0.301029996,0.77815125
AAF-021BC_AAF-011BC,7.9665,0.698970004,0,0.84509804
AAF-025BC_AAF-029BC,6.5005,1.662757832,0,0
AAF-026BC_AAF-027BC,7.487,0.301029996,0.77815125,1.69019608
AAM-003BC_AAM-005BC,6.236,0.698970004,0.903089987,0.602059991
AAM-004BC_AAM-011BC,7.436,1.477121255,1.477121255,0.477121255
AAM-006BC_AAM-016BC,6.7915,0.954242509,0.301029996,0.903089987
AAM-007BC_AAM-023BC,6.737,0.84509804,0,0.698970004
AAM-013BC_AAM-010BC,6.977,0.602059991,0,0.477121255
AAM-019BC_AAM-021BC,6.584,0.477121255,0.602059991,0.477121255
AAM-020BC_AAM-018BC,8.224,0.954242509,0,1.62324929
AAM-022BC_AAM-001BC,7.5595,0.602059991,0,1.079181246
AAM-028BC_AAM-025BC,7.4325,1.230448921,1.431363764,1.301029996
AAM-030BC_AAM-015BC,6.8125,0.698970004,0,1.62324929
AAM-032BC_AAM-031BC,6.1565,0.954242509,1.230448921,1
